claim_id	metric	value	unit	scope	qualification	source_record
LAB-A02-003	corrected_full_input_lock_occupied_fraction	49.5233	percent	12,768,316 public pairs, diagnostic build, uncompressed local NVMe, binding unset	Input lock hold divided by 39.8175-second measured mapping interval	benchmarks/labs/A02/affinity-attribution-20260723/A02-corrected-full-uncompressed-20260723T0720Z
LAB-A02-004	corrected_full_aggregate_mapping_concurrency	71.2761	equivalent CPUs	same corrected full-corpus diagnostic	Sum of per-thread mapping time divided by measured mapping interval	benchmarks/labs/A02/affinity-attribution-20260723/A02-corrected-full-uncompressed-20260723T0720Z
LAB-A02-005	corrected_full_active_finish_spread	12.9347	seconds	same corrected full-corpus diagnostic	Difference between first and last active worker completion	benchmarks/labs/A02/affinity-attribution-20260723/A02-corrected-full-uncompressed-20260723T0720Z
LAB-A02-006	corrected_full_active_threads	96/96	threads	same corrected full-corpus diagnostic	Every requested mapping thread processed at least one read	benchmarks/labs/A02/affinity-attribution-20260723/A02-corrected-full-uncompressed-20260723T0720Z
LAB-A02-007	corrected_full_end_to_end_wall_time	70.92	seconds	same corrected full-corpus diagnostic	Diagnostic timing only; not a release performance claim	benchmarks/labs/A02/affinity-attribution-20260723/A02-corrected-full-uncompressed-20260723T0720Z
LAB-A02-008	corrected_full_mean_cpu_use	4067	percent	same corrected full-corpus diagnostic	Diagnostic occupancy; instrumentation overhead is unqualified	benchmarks/labs/A02/affinity-attribution-20260723/A02-corrected-full-uncompressed-20260723T0720Z
LAB-A02-009	corrected_full_input_lock_wait_sum	462.3729	thread-seconds	same corrected full-corpus diagnostic	Sum across workers; may overlap and must not be interpreted as wall time	benchmarks/labs/A02/affinity-attribution-20260723/A02-corrected-full-uncompressed-20260723T0720Z
LAB-A02-010	corrected_full_read_count_cv	18.2825	percent	same corrected full-corpus diagnostic	Coefficient of variation across active worker read counts	benchmarks/labs/A02/affinity-attribution-20260723/A02-corrected-full-uncompressed-20260723T0720Z
LAB-H01-001	release_bound_wall_time	223.54	seconds	2,000,000 public pairs, exact qualified release binary, 96 requested threads, OMP_PROC_BIND=close and OMP_PLACES=cores	Matched failure-mode control	benchmarks/labs/H01/affinity-recovery-20260723/H01-release-bound-20260723T0652Z
LAB-H01-002	affinity_recovery_bound_wall_time	43.00	seconds	same index, reads, allocation, binding environment, and thread count; H01 commit 496ee8a	Exact final candidate binary	benchmarks/labs/H01/affinity-recovery-20260723/H01-fastpath-bound-final-20260723T0751Z
LAB-H01-003	affinity_recovery_wall_time_reduction	80.7641	percent	same matched bound comparison	Large recovery of a pathological inherited-affinity failure mode	benchmarks/labs/H01/affinity-recovery-20260723/H01-fastpath-bound-final-comparison.json
LAB-H01-004	affinity_recovery_speedup	5.199	fold	same matched bound comparison	Large recovery of a pathological inherited-affinity failure mode	benchmarks/labs/H01/affinity-recovery-20260723/H01-fastpath-bound-final-comparison.json
LAB-H01-005	unbound_release_median_wall_time	43.49	seconds	2,000,000 public pairs, five randomized pairs, binding unset	Ordinary-path noninferiority baseline	benchmarks/labs/H01/affinity-recovery-20260723/H01-fastpath-unbound-five-pair-20260723T0743Z
LAB-H01-006	unbound_candidate_median_wall_time	43.48	seconds	same five randomized pairs	Ordinary-path noninferiority candidate	benchmarks/labs/H01/affinity-recovery-20260723/H01-fastpath-unbound-five-pair-20260723T0743Z
LAB-H01-007	unbound_median_paired_improvement	-0.0687	percent	same five randomized pairs	Negative means slower; practically zero	benchmarks/labs/H01/affinity-recovery-20260723/H01-fastpath-unbound-five-pair-20260723T0743Z/noninferiority.json
LAB-H01-008	unbound_bootstrap_95_interval	-0.3684 to 0.8266	percent	same five randomized pairs	Passes the predeclared 2 percent no-regression margin	benchmarks/labs/H01/affinity-recovery-20260723/H01-fastpath-unbound-five-pair-20260723T0743Z/noninferiority.json
LAB-H01-009	unbound_median_rss_increase	0	percent	same five randomized pairs	Resource gate passed	benchmarks/labs/H01/affinity-recovery-20260723/H01-fastpath-unbound-five-pair-20260723T0743Z/noninferiority.json
LAB-H01-010	measured_correctness_comparisons	7/7	comparisons	five unbound pairs, one bound release-candidate comparison, and one single-versus-multithread smoke comparison	All timing-independent metrics, junctions, and gene counts passed	benchmarks/labs/H01/affinity-recovery-20260723
