claim_id	metric	value	unit	scope	qualification	source_record
LAB-A06-011	quiet_qualified_median_rss_change	-0.0054	percent	Same three order-balanced full-corpus pairs	Negative is lower candidate peak RSS; resource gate passed	benchmarks/labs/A06/20260723/uncompressed-96-three-pair-20260723T200941Z/result.json
LAB-A06-012	quiet_qualified_correctness_comparisons	3/3	pair comparisons	Same three order-balanced full-corpus pairs	Timing-independent metrics, junctions, and gene counts passed	benchmarks/labs/A06/20260723/uncompressed-96-three-pair-20260723T200941Z/pairs.tsv
LAB-A06-013	confirmation_a05_and_a06_median_wall_times	57.39 / 56.11	seconds	Same public uncompressed workload and 96 logical CPUs, five seeded order-balanced pairs	Small-effect confirmation on an administratively dedicated benchmark host	benchmarks/labs/A06/20260723/uncompressed-96-five-pair-confirmation-20260723T205057Z/result.json
LAB-A06-014	confirmation_median_paired_improvement	2.2914	percent	Same five order-balanced full-corpus pairs	Passes the 2 percent practical performance gate	benchmarks/labs/A06/20260723/uncompressed-96-five-pair-confirmation-20260723T205057Z/result.json
LAB-A06-015	confirmation_bootstrap_95_interval	1.5159 to 3.7927	percent	Same five order-balanced full-corpus pairs	Passes the small-effect replicate gate because the paired interval excludes zero	benchmarks/labs/A06/20260723/uncompressed-96-five-pair-confirmation-20260723T205057Z/result.json
LAB-A06-016	confirmation_baseline_and_candidate_cv	0.7380 / 0.4275	percent	Same five order-balanced full-corpus pairs	Both arms remain below 1 percent CV	benchmarks/labs/A06/20260723/uncompressed-96-five-pair-confirmation-20260723T205057Z/result.json
LAB-A06-017	confirmation_median_rss_change	-0.0109	percent	Same five order-balanced full-corpus pairs	Negative is lower candidate peak RSS; resource gate passed	benchmarks/labs/A06/20260723/uncompressed-96-five-pair-confirmation-20260723T205057Z/result.json
LAB-A06-018	confirmation_correctness_comparisons	5/5	pair comparisons	Same five order-balanced full-corpus pairs	Timing-independent metrics, junctions, and gene counts passed	benchmarks/labs/A06/20260723/uncompressed-96-five-pair-confirmation-20260723T205057Z/pairs.tsv
LAB-A06-019	compressed_a05_and_a06_median_wall_times	64.28 / 60.77	seconds	Same public corpus through zcat on local SSD, 96 logical CPUs, three seeded order-balanced pairs	Supportive compressed-input generalization on an administratively dedicated host	benchmarks/labs/A06/20260723/compressed-96-three-pair-20260723T203650Z/result.json
LAB-A06-020	compressed_median_paired_improvement	4.5893	percent	Same three order-balanced compressed-input pairs	Supportive generalization; all formal correctness and resource checks passed	benchmarks/labs/A06/20260723/compressed-96-three-pair-20260723T203650Z/result.json
LAB-A06-021	compressed_bootstrap_95_interval	2.7680 to 6.4089	percent	Same three order-balanced compressed-input pairs	Paired interval over the three measured improvements	benchmarks/labs/A06/20260723/compressed-96-three-pair-20260723T203650Z/result.json
LAB-A06-022	compressed_correctness_comparisons	3/3	pair comparisons	Same three order-balanced compressed-input pairs	Timing-independent metrics, junctions, and gene counts passed	benchmarks/labs/A06/20260723/compressed-96-three-pair-20260723T203650Z/pairs.tsv
LAB-A06-023	unsorted_bam_correctness_checks	5/5	checks	First 2,000,000 public read pairs, unsorted BAM output, 96 logical CPUs	Timing-independent metrics, junctions, counts, BAM presence, and canonical records passed	benchmarks/labs/A06/20260723/unsorted-bam-2m-one-pair-20260723T204533Z/pair-01-comparison.json
LAB-A06-024	canonical_bam_record_sha256	e3f67bccb149277f6f9673e204071b80afab5021c8182028ec17678cdbc750ac	sha256	Same unsorted-BAM differential check	Baseline and candidate canonical record digests were identical	benchmarks/labs/A06/20260723/unsorted-bam-2m-one-pair-20260723T204533Z/pair-01-comparison.json
LAB-A06-025	end_to_end_sanitized_alignment	1/1	checks	First 250,000 public read pairs, full GRCh38 index, 16 logical CPUs, ASan and UBSan	Completed 68,700 splice events with abort-on-error enabled and empty sanitizer stderr	benchmarks/labs/A06/20260723/asan-ubsan-250k-20260723T211822Z/provenance.tsv; benchmarks/labs/A06/20260723/asan-ubsan-250k-20260723T211822Z/star.Log.final.out; benchmarks/labs/A06/20260723/asan-ubsan-250k-20260723T211822Z/stderr.log
