claim_id	metric	value	unit	scope	qualification	source_record
LAB-Q01-011	private_compressed_bootstrap_95_interval	28.4661 to 29.6105	percent	Same three order-balanced compressed-input pairs	Positive paired interval	benchmarks/labs/Q01/20260723/private-compressed-96-three-pair-20260723T2358Z/result.json
LAB-Q01-012	private_compressed_release_and_candidate_cv	0.8034 / 0.6756	percent	Same three order-balanced compressed-input pairs	Both arms passed the 3 percent variability gate	benchmarks/labs/Q01/20260723/private-compressed-96-three-pair-20260723T2358Z/result.json
LAB-Q01-013	private_compressed_median_peak_rss_change	-6.7724	percent	Same three order-balanced compressed-input pairs	Negative is lower candidate peak RSS; resource gate passed	benchmarks/labs/Q01/20260723/private-compressed-96-three-pair-20260723T2358Z/result.json
LAB-Q01-014	private_compressed_correctness_comparisons	3/3	pair comparisons	Same three order-balanced compressed-input pairs	Timing-independent final metrics, junctions, and gene counts passed	benchmarks/labs/Q01/20260723/private-compressed-96-three-pair-20260723T2358Z/pairs.tsv
LAB-Q01-015	shared_genome_unsorted_bam_correctness_checks	5/5	checks	2,000,000 public paired reads, LoadAndKeep, unsorted BAM, canonical record comparison	Safety gate only; one ordered pair is not a performance claim	benchmarks/labs/Q01/20260723/shared-unsorted-bam-2m-one-pair-20260724T0012Z/pair-01-comparison.json
LAB-Q01-016	shared_genome_canonical_bam_record_digest	e3f67bccb149277f6f9673e204071b80afab5021c8182028ec17678cdbc750ac	sha256	Same shared-index unsorted-BAM differential check	Release and cumulative candidate canonical record digests were identical	benchmarks/labs/Q01/20260723/shared-unsorted-bam-2m-one-pair-20260724T0012Z/pair-01-comparison.json
LAB-Q01-017	shared_genome_lifecycle_checks	2/2	checks	LoadAndKeep preload followed by LoadAndRemove cleanup	Private NUMA optimization remained disabled for shared genome memory	benchmarks/labs/Q01/20260723/qualification-receipt.tsv
LAB-Q01-018	bound_failure_release_and_candidate_wall_times	226.13 / 37.69	seconds	2,000,000 public paired reads, 96 requested threads, OMP_PROC_BIND close, OMP_PLACES cores, one matched pair	Failure-mode positive control only; not an ordinary-path speed claim	benchmarks/labs/Q01/20260723/bound-affinity-96-2m-one-pair-20260724T0020Z/result.json
LAB-Q01-019	bound_failure_matched_improvement	83.3326	percent	Same one-pair failure-mode control	Descriptive 6.00-fold recovery; replicate gate intentionally not met	benchmarks/labs/Q01/20260723/bound-affinity-96-2m-one-pair-20260724T0020Z/result.json
LAB-Q01-020	bound_failure_correctness_comparisons	3/3	checks	Same one-pair failure-mode control	Timing-independent final metrics, junctions, and gene counts passed	benchmarks/labs/Q01/20260723/bound-affinity-96-2m-one-pair-20260724T0020Z/pair-01-comparison.json
LAB-Q01-021	affinity_recovery_places_cpus_and_status	128 / 256 / 0	places / CPUs / status	Same candidate run on a 256-logical-CPU host	Full allowed-place union restored before pthread creation	benchmarks/labs/Q01/20260723/bound-affinity-96-2m-one-pair-20260724T0020Z/pair-01-1-candidate/star.Log.out
LAB-Q01-022	focused_asan_ubsan_scripts	8/8	scripts	Affinity, chunk configuration, packed arrays, suffix comparison, transcript initialization, genome parameters, junction alignment, and SHA-256	All sanitizer checks passed	benchmarks/labs/Q01/20260723/qualification-receipt.tsv
LAB-Q01-023	deployment_selector_matrix	pass	status	Candidate, fallback, automatic fallback, and expected negative paths	Deployment selector failed closed as designed	benchmarks/labs/Q01/20260723/qualification-receipt.tsv
LAB-Q01-024	genome_insert_hardening_checks	24/24	checks	Full, Overlay, Delta, GTF, identity, corruption, idempotence, benchmark fail-closed, and upstream compatibility	All checks passed	benchmarks/labs/Q01/20260723/qualification-receipt.tsv
LAB-Q01-025	saindex_strategy_checks	4/4	checks	Bounded parallel, low-memory fallback, parallel-versus-serial identity, and constrained-versus-serial identity	All checks passed	benchmarks/labs/Q01/20260723/qualification-receipt.tsv
LAB-Q01-026	upstream_full_index_alignment_compatibility	1/1	checks	Official STAR 2.7.11b oracle at b1edc1208d91a53bf40ebae8669f71d50b994851	Full BlackSTAR index aligned identically under upstream STAR	benchmarks/labs/Q01/20260723/qualification-receipt.tsv
LAB-Q01-027	reproducible_package_binary_digest	b8f5aeb4b0202013d62740b606b418564a9972a0a1df531d6c62fdb30d67de00	sha256	Two independent clean package builds at qualification harness commit	Binary digests identical	benchmarks/labs/Q01/20260723/qualification-receipt.tsv
LAB-Q01-028	reproducible_package_archive_digest	c7b9f875e735935818233bd81441a06bfe0ca4bfbe1ee7972f0f4f5c93e266f9	sha256	Same two independent clean package builds	Compressed archive digests identical	benchmarks/labs/Q01/20260723/qualification-receipt.tsv
LAB-Q01-029	reproducible_build_info_digest	2e4afa3f7cd3392a4d9ac08616f98385b35322587f87aad8d7215c89a4505e18	sha256	Same two independent clean package builds	Build provenance manifest digests identical	benchmarks/labs/Q01/20260723/qualification-receipt.tsv
